iter	Passed	Remaining
0	0	144
1	1	113
2	1	95
3	1	85
4	2	80
5	2	77
6	2	75
7	4	115
8	5	113
9	6	115
10	18	310
11	18	290
12	18	272
13	19	255
14	19	241
15	19	227
16	20	216
17	20	206
18	20	197
19	21	191
20	21	184
21	21	177
22	22	175
23	23	170
24	23	164
25	23	160
26	24	155
27	24	150
28	24	146
29	25	142
30	25	138
31	25	135
32	26	131
33	26	128
34	26	125
35	26	122
36	27	120
37	27	117
38	27	115
39	28	112
40	28	110
41	28	108
42	29	106
43	29	104
44	29	102
45	30	101
46	30	99
47	31	98
48	31	98
49	32	96
50	32	95
51	33	94
52	33	93
53	35	95
54	36	97
55	37	96
56	37	94
57	38	93
58	38	91
59	38	90
60	39	88
61	39	87
62	39	86
63	39	84
64	40	83
65	40	82
66	40	80
67	41	79
68	41	78
69	41	77
70	42	76
71	42	75
72	42	74
73	43	73
74	43	72
75	43	71
76	44	70
77	44	69
78	44	68
79	44	67
80	45	66
81	45	65
82	45	64
83	46	63
84	46	63
85	47	62
86	47	61
87	47	61
88	48	60
89	48	59
90	48	58
91	49	57
92	49	56
93	49	56
94	50	55
95	50	54
96	50	53
97	50	53
98	51	52
99	51	51
100	51	50
101	52	50
102	52	49
103	52	48
104	52	47
105	53	47
106	53	46
107	53	45
108	54	45
109	54	44
110	54	43
111	55	43
112	55	42
113	55	42
114	56	41
115	56	40
116	56	40
117	56	39
118	57	38
119	57	38
120	57	37
121	58	37
122	58	36
123	58	36
124	59	35
125	59	34
126	59	34
127	59	33
128	60	33
129	60	32
130	60	32
131	61	31
132	61	30
133	61	30
134	61	29
135	62	29
136	62	28
137	62	28
138	63	27
139	63	27
140	63	26
141	64	26
142	64	25
143	64	25
144	64	24
145	65	24
146	65	23
147	65	23
148	66	22
149	66	22
150	66	21
151	66	21
152	67	20
153	67	20
154	67	19
155	68	19
156	68	18
157	68	18
158	68	17
159	69	17
160	69	16
161	69	16
162	70	15
163	70	15
164	70	14
165	71	14
166	71	14
167	72	13
168	72	13
169	72	12
170	72	12
171	73	11
172	73	11
173	73	11
174	74	10
175	74	10
176	74	9
177	75	9
178	75	8
179	75	8
180	76	7
181	76	7
182	76	7
183	76	6
184	77	6
185	77	5
186	77	5
187	78	4
188	78	4
189	78	4
190	79	3
191	79	3
192	79	2
193	79	2
194	80	2
195	80	1
196	80	1
197	80	0
198	81	0
199	81	0
